	Vocal	Audio	EucDistMFCC
303	i	Mouth	67.05022117078407
304	i	Mouth	57.25065298457523
305	i	Mouth	57.81918616158643
306	i	Mouth	50.60272323351516
307	i	Mouth	42.32875114605084
308	i	Mouth	41.70807297200042
309	i	Mouth	55.910600336238396
310	i	Mouth	56.704349533196066
311	i	Mouth	46.13975405345753
312	i	Mouth	61.545094509495264
313	i	Mouth	59.10201398354237
314	i	Mouth	61.729993067309536
315	i	Mouth	61.54526249477196
316	i	Mouth	68.52625040738347
317	i	Mouth	54.02093007042895
318	i	Mouth	45.52717904191453
319	i	Mouth	35.9794150290355
320	i	Mouth	43.38563652625672
321	i	Mouth	45.018062717702136
322	i	Mouth	53.518912958353006
323	i	Mouth	41.57024969074491
324	o	Monophonic	65.55630147975516
325	o	Monophonic	89.84750366576817
326	o	Monophonic	60.97520277971802
327	o	Monophonic	64.0878741353209
328	o	Monophonic	51.553456888297674
329	o	Monophonic	55.101006524133
330	o	Monophonic	44.538752683531364
331	o	Monophonic	67.78774522339225
332	o	Monophonic	43.00400858112214
333	o	Monophonic	44.62583895773199
334	o	Monophonic	29.465788133485244
335	o	Monophonic	37.69838340272258
336	o	Monophonic	47.71873035981552
337	o	Monophonic	68.45582173563068
338	o	Monophonic	38.64321903808
339	o	Monophonic	42.31818284575363
340	o	Monophonic	28.038299279344958
341	o	Monophonic	36.62640351953093
342	o	Monophonic	44.30956156947215
343	o	Monophonic	75.75961458066638
344	o	Monophonic	46.824483689258265
345	o	Monophonic	59.47318826833115
346	o	Monophonic	41.12214752952792
347	o	Monophonic	36.88862401637961
348	o	Monophonic	59.167107301671926
349	o	Monophonic	69.6712574847429
350	o	Monophonic	48.351000217938065
351	o	Monophonic	38.302546284957515
352	o	Monophonic	34.26003728637841
353	o	Monophonic	49.51910105981931
354	o	Monophonic	58.08835682170301
355	o	Monophonic	69.69296336056243
356	o	Monophonic	61.932465246134605
357	o	Monophonic	52.01245544718203
358	o	Monophonic	44.673013716510184
359	o	Monophonic	60.45542060902089
360	o	Nose	46.98832528547641
361	o	Nose	80.18215088157548
362	o	Nose	58.1751088907166
363	o	Nose	72.35241867987614
364	o	Nose	62.04836683968824
365	o	Nose	58.46257956898681
366	o	Nose	48.34164396771041
367	o	Nose	73.04752722118788
368	o	Nose	62.89582705202196
369	o	Nose	77.02345627741238
370	o	Nose	65.7529715691117
371	o	Nose	56.838780205301994
372	o	Nose	44.6079340358269
373	o	Nose	70.81314097880461
374	o	Nose	60.71290252807257
375	o	Nose	71.95369340534653
376	o	Nose	62.46532176566404
377	o	Nose	58.52825140581137
378	o	Nose	57.39827768122884
379	o	Nose	86.01841880184718
380	o	Nose	76.95142251346796
381	o	Nose	92.88546773211701
382	o	Nose	81.56522252447078
383	o	Nose	71.57237797569736
384	o	Nose	49.433566459488425
385	o	Nose	70.85684733501802
386	o	Nose	58.49523213090973
387	o	Nose	73.99938096928487
388	o	Nose	61.568235701176846
389	o	Nose	49.235721980181445
390	o	Nose	56.12159147668362
391	o	Nose	82.08504707296419
392	o	Nose	72.12188447848027
393	o	Nose	76.8182959493109
394	o	Nose	68.18061532506663
395	o	Nose	61.19109691002519
396	o	Mouth	50.283627555377514
397	o	Mouth	67.88209230356067
398	o	Mouth	50.388544331292074
399	o	Mouth	54.22719999883637
400	o	Mouth	44.78623801746931
401	o	Mouth	57.06899276516678
402	o	Mouth	49.087224355540826
403	o	Mouth	63.38167279650603
404	o	Mouth	46.49225093396085
405	o	Mouth	41.666356912097214
406	o	Mouth	38.531533023671145
407	o	Mouth	51.849646722594244
408	o	Mouth	49.87050956945035
409	o	Mouth	57.91011311580831
410	o	Mouth	41.32940634015306
411	o	Mouth	38.98005894976224
412	o	Mouth	38.58391435897116
413	o	Mouth	52.57113812617968
414	o	Mouth	36.25402830064308
415	o	Mouth	56.91880619136084
416	o	Mouth	32.040561709250674
417	o	Mouth	43.19687082708358
418	o	Mouth	35.000108616800716
419	o	Mouth	37.457418812877485
420	o	Mouth	54.31526892439955
421	o	Mouth	50.872648049701716
422	o	Mouth	46.94124875819455
423	o	Mouth	41.16733667120107
424	o	Mouth	41.68907458142083
425	o	Mouth	56.47547959450573
426	o	Mouth	60.58363074089838
427	o	Mouth	64.33575761867351
428	o	Mouth	61.680807990055094
429	o	Mouth	51.71130802379396
430	o	Mouth	45.79846359970968
431	o	Mouth	61.8924228988064
432	u	Monophonic	44.7950989207639
433	u	Monophonic	77.32855317963246
434	u	Monophonic	48.90228010411939
435	u	Monophonic	29.402275056647824
436	u	Monophonic	66.84090903126348
437	u	Monophonic	59.91215735739486
438	u	Monophonic	57.43844016558189
439	u	Monophonic	93.49682179668541
440	u	Monophonic	59.80882677931108
441	u	Monophonic	39.82636357171987
442	u	Monophonic	75.16015439394648
443	u	Monophonic	62.596203059916384
444	u	Monophonic	37.87504775939715
445	u	Monophonic	52.47164416227415
446	u	Monophonic	39.23755722907642
447	u	Monophonic	37.22382693489044
448	u	Monophonic	51.180783411788454
449	u	Monophonic	51.30079453502295
450	u	Monophonic	52.064495896571806
451	u	Monophonic	60.32301102085639
452	u	Monophonic	37.86514094440357
453	u	Monophonic	44.42864738587904
454	u	Monophonic	60.98347074163424
455	u	Monophonic	56.24554449920338
456	u	Monophonic	51.73477592611746
457	u	Monophonic	60.84403277187204
458	u	Monophonic	57.02432836076299
459	u	Monophonic	53.73910047527248
460	u	Monophonic	61.419453517283046
461	u	Monophonic	56.64801967092511
462	u	Monophonic	51.340408238632826
463	u	Monophonic	54.04569947391346
464	u	Monophonic	47.06282309730651
465	u	Monophonic	48.67577702847753
466	u	Monophonic	62.20166930876949
467	u	Monophonic	63.01443950570494
468	u	Nose	61.947000164971925
469	u	Nose	60.02527148896256
470	u	Nose	52.46380100102157
471	u	Nose	55.76980098665344
472	u	Nose	67.82862590072519
473	u	Nose	65.97238762172047
474	u	Nose	64.80894860156465
475	u	Nose	61.48074386447726
476	u	Nose	57.67485817912845
477	u	Nose	53.38031669178659
478	u	Nose	64.39246589615291
479	u	Nose	60.89727637236471
480	u	Nose	60.32469797311855
481	u	Nose	55.11460691264267
482	u	Nose	50.52382264215735
483	u	Nose	57.49364022354258
484	u	Nose	63.97410438839952
485	u	Nose	62.35902784427008
486	u	Nose	75.91365622426164
487	u	Nose	58.19975876142101
488	u	Nose	51.09197063813886
489	u	Nose	66.8253050762197
490	u	Nose	79.26981321394508
491	u	Nose	76.25058738335115
492	u	Nose	53.53977586969331
493	u	Nose	66.03957147452215
494	u	Nose	54.86615709105852
495	u	Nose	58.29793968361568
496	u	Nose	63.489669967283156
497	u	Nose	58.68457160011623
498	u	Nose	64.5412722929034
499	u	Nose	54.20872127957555
500	u	Nose	45.70346811829562
501	u	Nose	60.212343684602885
502	u	Nose	69.70064102261722
503	u	Nose	67.61129391758014
504	u	Mouth	46.04910459791544
505	u	Mouth	84.22056408610291
506	u	Mouth	78.21239641911922
507	u	Mouth	36.055423671504634
508	u	Mouth	48.524436399312314
509	u	Mouth	46.183262272927635
510	u	Mouth	47.83176101976855
511	u	Mouth	97.1071388769393
512	u	Mouth	77.63244602492895
513	u	Mouth	38.67813765861596
514	u	Mouth	58.31750158653841
515	u	Mouth	53.890450587911204
516	u	Mouth	36.99455553101954
517	u	Mouth	61.42186327162114
518	u	Mouth	55.13821820975679
519	u	Mouth	38.9846889054178
520	u	Mouth	42.520749197278604
521	u	Mouth	39.624796855621454
522	u	Mouth	62.401424380700306
523	u	Mouth	78.8441865573563
524	u	Mouth	66.30782959604103
525	u	Mouth	61.907126442083225
526	u	Mouth	55.82842903935693
527	u	Mouth	46.21944287943047
528	u	Mouth	67.93512653845592
529	u	Mouth	63.78483298778293
530	u	Mouth	64.881343584747
531	u	Mouth	73.83856338821892
532	u	Mouth	73.72545791052836
533	u	Mouth	64.1428593871679
534	u	Mouth	61.48881525508059
535	u	Mouth	59.427695827525476
536	u	Mouth	54.89143096160713
537	u	Mouth	59.792783475454854
538	u	Mouth	68.76497514317495
539	u	Mouth	64.89182858501674
